Price,Close,High,Low,Open,Volume,Log_return,realized_volatility_20d
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,,
Date,,,,,,,
2015-12-09,2047.6199951171875,2080.330078125,2036.530029296875,2061.169921875,4385250000,-0.007769086365692726,0.009868315232129428
2015-12-10,2052.22998046875,2067.64990234375,2045.6700439453125,2047.9300537109375,3715150000,0.0022488565785946774,0.009874059997924007
2015-12-11,2012.3699951171875,2047.27001953125,2008.800048828125,2047.27001953125,4301060000,-0.01961386775581532,0.010339045251696592
2015-12-14,2021.93994140625,2022.9200439453125,1993.260009765625,2013.3699951171875,4612440000,0.0047442880640680245,0.010105228484009141
2015-12-15,2043.4100341796875,2053.8701171875,2025.550048828125,2025.550048828125,4353540000,0.010562580105914385,0.009818881995239344
2015-12-16,2073.070068359375,2076.719970703125,2042.4300537109375,2046.5,4635450000,0.014410635650771483,0.01034353207866498
2015-12-17,2041.8900146484375,2076.3701171875,2041.6600341796875,2073.760009765625,4327390000,-0.015154776635876313,0.010236635518376402
2015-12-18,2005.550048828125,2040.81005859375,2005.3299560546875,2040.81005859375,6683070000,-0.017957495007106937,0.01091595051090041
2015-12-21,2021.1500244140625,2022.9000244140625,2005.9300537109375,2010.27001953125,3760280000,0.0077483067271562,0.011058249568923609
2015-12-22,2038.969970703125,2042.739990234375,2020.489990234375,2023.1500244140625,3520860000,0.008778095591568889,0.01130224201735193
2015-12-23,2064.2900390625,2064.72998046875,2042.199951171875,2042.199951171875,3484090000,0.012341596527553888,0.011692071490455858
2015-12-24,2060.989990234375,2067.360107421875,2058.72998046875,2063.52001953125,1411860000,-0.0015999154038633197,0.011693590530322238
2015-12-28,2056.5,2057.77001953125,2044.199951171875,2057.77001953125,2492510000,-0.002180936456306017,0.011694246649891701
2015-12-29,2078.360107421875,2081.56005859375,2060.5400390625,2060.5400390625,2542000000,0.010573664173022947,0.011924339206428176
2015-12-30,2063.360107421875,2077.340087890625,2061.969970703125,2077.340087890625,2367430000,-0.007243398783778549,0.011750661319126063
2015-12-31,2043.93994140625,2062.5400390625,2043.6199951171875,2060.590087890625,2655330000,-0.009456485041467845,0.011683430325962545
2016-01-04,2012.6600341796875,2038.199951171875,1989.6800537109375,2038.199951171875,4304880000,-0.015422041797805928,0.01174309790963954
